Unnamed: 0,Titulo_moderno,titulo_pal,titulo_lem,Manuscrito,Folios,Fragm?,Joint,Order in manuscript,Nombra autor,Comment
,Das Wachtelmäre,Hie hebt sich an daz puch Von den wachteln,hie heben sich an daz buoch von der wachteln,W2885,,,,45,,
,Der milde König,Von dem milten kunig,von der milte künic,W2885,,,,46,,
,Der nackte Ritter,Von des wirts gaste,von der wirts gaste,W2885,,,,47,,
,Die Blume und der Reif,Von der Maid plumen,von der maid bluome,W2885,,,,48,,
,Fink und Nachtigall,Von dem vinkhen vnd Von der Nachtigal,von der vinkhen und von der nahtegal,W2885,,,,49,,
,Der einfältige Ritter,Von dem schon perg,von der schoene perg,W2885,,,,50,,
,Rat der Vögel,Von der lerchen,von der lêrche,W2885,,,,51,,
,Der Gast und die Wirtin,Von der leitgebin,von der leitgebin,W2885,,,,52,,
,Der Minne Klaffer,Der klaffer,der klafer,W2885,,,,53,,
,Frauenerziehung,Von der frawn zucht,von der vrouwe zucht,W2885,,,,54,,
,Das Almosen,Von der frawn Almusen,von der vrouwe almuose,W2885,,,,55,,
,Vom Antichrist,Von dem end christ,von der ende Christus,W2885,,,,56,,
,Der Striegel,Von dem strigl,von der strigl,W2885,,,,57,,
,Pfaffe und Ehebrecherin,Von der phaffen panne,von der phafen ban,W2885,,,,58,,
,Paternoster-Parodie,Der pater noster,der pater nos,W2885,,,,59,,
,Ave Maria-Parodie,Daz Aue maria,daz aue maria,W2885,,,,60,,
,Des Gastes Hofzucht,Von des gasts hofzuft,von der gast hofzuft,W2885,,,,61,,
,Von drei Wappen,Von drein wapen,von darinne wâpen,W2885,,,,62,,
,Der ernsthafte König,Von dem ernsthaften kunig,von der ernesthafte künic,W2885,,,,63,,
,Der König im Bad,Von dem vbr mutigen kunig,von der vbr mutigen künic,W2885,,,,64,,
,Der Württemberger,Des von wirtenberk pueh,der von wirtenberk pueh,W2885,,,,65,,
,Der Magezoge,Daz ist der eren spiegl,daz sîn der eren spiegel,W2885,,,,66,,
,Die Legende vom heiligen Kreuz,Von dem heiligen chrawtz,von der heilec chrawtz,W2885,,,,67,,
,Heinrich von Kempten,Von Kaiser Otten,von keiser oten,W2885,,,,68,,
,Studentenabenteuer A,,,FB32001,,,,1,,
,Der Hellerwertwitz,Hie hebt sich an die helbert wiczs(wirth),hie heben sich an die helbert wiczs ( werden ),FB32001,,,,2,,
,Das Schneekind,Das mär von dem snee pallen,daz mære von der snê palle,FB32001,,,,3,,
,Das Herzmaere,Daz ist daz herczs märe,daz sîn daz herczs mære,FB32001,,,,4,,
,Die halbe Decke B,Daz mär von dem choczen,daz mære von der kotze,FB32001,,,,5,,
,Die Bärenjagd,Das mär von der perhawt,daz mære von der perhawt,FB32001,,,,6,,
,Frau Seltenrein,Das mär von dem smid kneht,daz mære von der smit kneht,FB32001,,,,7,,
,Berchta,Das mär von der stempen,daz mære von der stempen,FB32001,,,,8,,
,Der Ritter im Hemd,Von dem ritter mit der nider wat,von der ritter mit der nidere wât,FB32001,,,,9,,
,Die Wette (Der Bauern Kirchweih),Von der pawren chirbeiche,von der gebûr chirbeiche,FB32001,,,,10,,
,Pyramus und Thisbe,Von piramon vnd von tyspe / den czain lieben geschach har wee,von piramon und von tispe / der czain lieben geschehen har wê,FB32001,,,,11,,
,Minner und Trinker,Von dem luderer vnd von dem minner ain güt mär,von der luderer und von der minner ein güete mære,FB32001,,,,12,,
,Die halbe Birne,Vom dem ritter mit der halben pirn,vom der ritter mit der halben bir,FB32001,,,,13,,
,Die Meierin mit der Geiß,Von der Schön mayrin,von der schoene meierinne,FB32001,,,,14,,
,Der Sperber,Hie hebt sich an von dem sparber,hie heben sich an von der sperwære,FB32001,,,,15,,
,Das heiße Eisen,Von dem haissen eysen,von der heizzen eisen,FB32001,,,,16,,
,Adam und Eva,Ain gute predig stat hier geschriben,ein guot bredigen stat hier schrîben,FB32001,,,,17,,
,Der Käfer im Rosenhaus,Daz mar von dem chefer etc,daz mar von der chefer etcetera,FB32001,,,,18,,
,Von einem Hofhund,Hie hebt an der hofwart,hie heben an der hovewart,FB32001,,,,19,,
,Hofzucht,Das ist des tanhawsers geticht vnd ist güte hoff zücht etc,daz sîn der tanhawsers tihten und sîn güete hof zuht etcetera,FB32001,,,,20,,
,Der Ritter mit den Nüssen,Von dem ritter mit den nüssen,von der ritter mit der nuz,FB32001,,,,21,,
,Der betrogene Blinde,Das mär von dem plinden,daz mære von der blint,FB32001,,,,22,,
,Der wahre Freund,Ain eben pild von dem tummen mann,ein eben bilde von der tump mann,FB32001,,,,23,,
,Das Gänslein,Daz mär von der gense,daz mære von der gans,FB32001,,,,24,,
,Die alte Mutter,Daz mär von der alten müter,daz mære von der alt muoter,FB32001,,,,25,,
,Tor Hunor,Daz mär von dem tören,daz mære von der tôren,FB32001,,,,26,,
,Der Minne Porten,Das ist der minne porten etc,daz sîn der minne porten etcetera,FB32001,,,,27,,
,Der Schüler von Paris B,Hie hebt sich an die red von paris von czwain lieben,hie heben sich an die red von paris von zwei lieben,FB32001,,,,28,,
,Die Heidin,,,FB32001,,,TRUE,29,,
,Der Schlegel,Hie hebt sich an das mär von dem slegl,hie heben sich an daz mære von der slegl,FB32001,,,,30,,
,Der Gevatterin Rat,Das mär von dem plockhe,daz mære von der plockhe,FB32001,,,,31,,
,Gold und Zers,Ain güt mär von dem Gold und von dem Zers,ein güete mære von der golt und von der Zers,FB32001,,,,32,,
,Die eingemauerte Frau,Von ainem vbeln pösen alten weib / Als vngelckh gee an jren leib etc,von ein übel boese alt wîp / als vngelckh gân an sie lîp etcetera,FB32001,,,,33,,
,Von einer Kröte,Ain mär von ainer chroten etc,ein mære von ein krote etcetera,FB32001,,,,34,,
,Die drei Wünsche,Ain mär von drein wünschen,ein mære von darinne wünschen,FB32001,,,,35,,
,Der nackte Bote,Ain mär von des hern knecht vnd von der padstuben,ein mære von der hern kneht und von der batstube,FB32001,,,,36,,
,Das erzwungene Gelübde,Das mär von dem weib an man etc,daz mære von der wîp an man etcetera,FB32001,,,,37,,
,Der Wolf und sein Sohn,Ain mär von dem wolfe etc,ein mære von der wolfe etcetera,FB32001,,,,38,,
,Die Kupplerin,,,FB32001,,,,39,,
,Der schwangere Müller,Ain mär von ainem mülnär etc,ein mære von ein mülnär etcetera,FB32001,,,,40,,
,Die Martinsnacht,Ain mär von sand marteins dieb,ein mære von sand Martinus diep,FB32001,,,,41,,
,Das Wachtelmäre,hie hebt sich an das püch von der wachteln etc,hie heben sich an daz buoch von der wachteln etcetera,FB32001,,,,42,,
,Der nackte Ritter,Von des wirtes gaste,von der wirt gaste,FB32001,,,,43,,
,Die Blume und der Reif,Von der maid plümen etc,von der maid bluome etcetera,FB32001,,,,44,,
,Fink und Nachtigall,Von dem vinckhen und von der nachigal etc,von der vinckhen und von der nachigal etcetera,FB32001,,,,45,,
,Der einfältige Ritter,Von dem schöm perg,von der schöm perg,FB32001,,,,46,,
,Rat der Vögel,Von der lerchen,von der lêrche,FB32001,,,,47,,
,Der Gast und die Wirtin,Von der leytgebin,von der leitgebin,FB32001,,,,48,,
,Der Minne Klaffer,Von dem klaffer,von der klafer,FB32001,,,,49,,
,Frauenerziehung,Von der frawn zucht,von der vrouwe zucht,FB32001,,,,50,,
,Das Almosen,Von der frawen almusen,von der vrouwe almuose,FB32001,,,,51,,
,Der Striegel,Von dem Strigel,von der strigel,FB32001,,,,52,,
,Pfaffe und Ehebrecherin,Von der pfaffen panne,von der pfafen ban,FB32001,,,,53,,
,Paternoster-Parodie,Der pater noster,der pater nos,FB32001,,,,54,,
,Ave Maria-Parodie,Das Aue maria,daz aue maria,FB32001,,,,55,,
,Des Gastes Hofzucht,Von des gasts hoffzucht,von der gast hovezuht,FB32001,,,,56,,
,Heinrich von Kempten,Von chaiser otten,von keiser oten,FB32001,,,,57,,
,Gauriel von Muntabel,Do hebt sich an daz mär von dem Ritter mit dem pockhen,do heben sich an daz mære von der ritter mit der pockhen,FB32001,,,,58,,
,Willehalm von Orleans,,,FB32001,,TRUE,TRUE,59,,
,Frauentreue,,,Don104,,,,24,,
,Das Zelt der Minne,,,Don104,,,,25,,
,Die sechs Farben,,,Don104,,,,26,,
,Das Auge,,,Don104,,,,27,,
,Der Minne Klaffer,,,Don104,,,,28,,
,Die Minne vor Gericht,,,Don104,,,,29,,
,Das Zauberkraut,,,Don104,,,,30,,
,Der Sperber,,,Don104,,,,31,,
,Frau Venus und die Minnenden,,,Don104,,,,32,,
,Die zwei Beichten,,,Don104,,,,33,,
,Die Jagd des Lebens,,,Don104,,,,34,,
,Henne und Fuchs,,,Don104,,,,35,,
,Die Tierbeichte,,,Don104,,,,36,,
,Der Zahn,,,Don104,,,,37,,
,Der betrogene Blinde,,,Don104,,,,38,,
,Der Streit um Eppes Axt,,,Don104,,,,39,,
,Der gestohlene Schinken,,,Don104,,,,40,,
,Der Wolf an der Wiege,,,Don104,,,,41,,
,Die gezähmte Widerspenstige,,,Don104,,,,42,,
,Die drei Mönche zu Kolmar,,,Don104,,,,43,,
,Der Welt Lohn,,,Don104,,,,44,,
,Hero und Leander,,,Don104,,,,45,,
,Klage über die Trennung von der Geliebten,,,Don104,,,,46,,
,Der ernsthafte König,,,Don104,,,,47,,
,Vom heiligen Geist,,,Don104,,TRUE,,48,,
,Die Kohlen,,,Don104,,,,49,,
,Frau Ehrenkranz,,,Don104,,,,50,,
,Viel anders,,,Don104,,,,51,,
,Gedichte,,,Don104,,,,52,,
,Fluch über die ungetreuen Frauen,,,Don104,,,,53,,
,Minnedurst,,,Don104,,,,54,,
,Frau Ehre und die Schande,,,Don104,,,,55,,
,Konni,,,Don104,,,,,,
,Der Hellerwertwitz,,,Don104,,,,,,
,Der wahre Freund,,,Don104,,,,,,
,Facerus cum nihil utilius,,,Don104,,,,,,
,Von den Buchstaben,,,Don104,,,,,,
,Die halbe Decke,,,Don104,,,,,,
,Der Sünder und der Einsiedel,,,Don104,,,,,,
,Ehren und Höhnen,,,Don104,,,,,,
,Vom Tode,,,Don104,,,,,,
,Die Weintrauben,,,Don104,,,,,,
,Die Gevatterinnen,,,Don104,,,,,,
,Der Minner und der Kriegsmann,,,Don104,,,,,,
,Fuchs und Wolf im Brunnen,,,Don104,,,,,,
,Die Katze als Diener,,,Don104,,,,,,
,Scheidsamen,,,Don104,,,,,,
,Der Allenfrauenhold,,,Don104,,,,,,
,Fuchs und Rabe,,,Don104,,,,,,
,Der unentschlossene Minner,,,Don104,,,,,,
,Klage eines Liebenden,,,Don104,,,,,,
,Beteuerung ewiger Treue,,,Don104,,,,,,
,Das Kloster der Minne,,,Don104,,,,,,
,Totenklage um die Herzogin Beatrix von Tirol,,,Don104,,,,,,
,Die Jagd der Minne,,,Don104,,,,,,
,Totenklage auf Graf Wernher von Hohenberg,,,Don104,,,,,,
,Minner und Trinker,,,Don104,,,,,,
,Ein Traum vom Liebesglück,,,Don104,,,,,,
,Von Frauen und Jungfrauen,,,Don104,,,,,,
,Der Richter und der Teufel,,,Don104,,,,,,
,Herzmaere,,,Don104,,,,,,
,Segen der fernen Geliebten,,,Don104,,,,,,
,Lügenpredigt,,,Don104,,,,,,
,Des Mönches Not,,,Don104,,,,,,
,Harm der Hund,,,Don104,,,,,,
,Von treulosen Männern,,,Don104,,,,,,
,Beständigkeit und Wankelmut,,,Don104,,,,,,
,Bescheidenheit (Vorrede),,,Don104,,,,,,
,Der König im Bad,,,Don104,,,,,,
,Frauenerziehung‘,,,Don104,,,,,,
,Das Unglück,,,Don104,,,,,,
,Der Wechsler und sein Sohn,,,Don104,,,,,,
,Der warnende Ehemann,,,Don104,,,,,,
,Kinder soll man ziehen,,,Don104,,,,,,
,Löwe und Sohn,,,Don104,,,,,,
,Die Ermordung eines Juden und die Rebhühner,,,Don104,,,,,,
,Wolf beim Schachspiel,,,Don104,,,,,,
,Von zwei Hunden,,,Don104,,,,,,
,Der Weiber Kleiderpracht,,,Don104,,,,,,
,Der Sohn des Bürgers,,,Don104,,,,,,
,Die beiden Freier,,,Don104,,,,,,
,Frau Metze,,,Don104,,,,,,
,Rat der Vögel,,,Don104,,,,,,
,Die Messerlein,,,Don104,,,,,,
,Die Martinsnacht,,,Don104,,,,,,
,Venite lieben gesellen,,,Don104,,,,,,
,Der unentwegte Liebhaber,,,Don104,,,,,,
,Lob der beständigen Frauen,,,Don104,,,,,,
,Drei buhlerische Frauen,,,Don104,,,,,,
,Minneklage,,,Don104,,,,,,
,Das Gnaistli,,,Don104,,,,,,
,Die Ratte,,,Don104,,,,,,
,Der Widerteil,,,Don104,,,,,,
,Der Ritter und Maria,,,Don104,,,,,,
,Die alte und die neue Minne,,,Don104,,,,,,
,Der schlaflose Minner,,,Don104,,,,,,
,Minnespruche an die Geliebte,,,Don104,,,,,,
,Liebesklage,,,Don104,,,,,,
,Spottgedicht auf Kaiser Ludwig den Bayern,,,Don104,,,,,,
,Adam und Eva,,,Don104,,,,,,
,Die halbe Birne,,,Don104,,,,,,
,Cato,,,Don104,,,,,,
,Der Müller und sein Sohn,,,Don104,,,,,,
,Liebesseufzer,,,Don104,,,,,,
,Alter Ehemann junge Ehefrau,,,Don104,,,,,,
,Liebesklage,,,Don104,,,,,,
,Liebesklage,,,Don104,,,,,,
,Der Eselsgeselle,,,Don104,,,,,,
,Von Eseln Gäuchen und Affen,,,Don104,,,,,,
,Der Pfaffe in der Reuse,,,Don104,,,,,,
,Der Würfel,,,Don104,,,,,,
,Krähe und Taube,,,Don104,,,,,,
,Die Minne und die Ehre,,,Don104,,,,,,
,Der Ritter und der Teufel,,,Don104,,,,,,
,Der Knappe und die Frau,,,Don104,,,,,,
,Das neue Deutsch,,,Don104,,,,,,
,Die zwölf Trünke,,,Don104,,,,,,
,Spruchgedicht von der Minne,,,Don104,,,,,,
,Liebesklage IV,,,Don104,,,,,,
,Meiden und Leiden,,,Don104,,,,,,
,Sprüche von der Armut,,,Don104,,,,,,
,Von den Barfüßermönchen,,,Don104,,,,,,
,Die Bauernhochzeit,,,Don104,,,,,,
,Wer kann allen recht tun,,,Don104,,,,,,
,Von Verschwiegenheit,,,Don104,,,,,,
,Urkunde der Minne,,,Don104,,,,,,
,Die Wünsche,,,Don104,,,,,,
,Sprüche,,,Don104,,,,,,
,Das Schneekind,,,Don104,,,,,,
,Verlorene Mühe (B53),,,Don104,,,,,,
,Lob der Jungfrau Maria,,,Don104,,,,,,
,Der Spalt in der Wand,,,Don104,,,,,,
,Des Buben Paternoster,,,Don104,,,,,,
,Die Katze als Nonne,,,Don104,,,,,,
,Quodlibet,,,Don104,,,,,,
,De contemptu mundi,,,Don104,,,,,,
,Schule der Minne I,,,Don104,,,,,,
,Der Wolf und der Bauer,,,Don104,,,,,,
,Der Tor und das Feuer,,,Don104,,,,,,
,Klage eines Impotenten,,,Don104,,,,,,
,Der Pfau und der Esel,,,Don104,,,,,,
,Der Minnegerende,,,Don104,,,,,,
,Wer lügt?,,,PragXA12,,,,,,
,Lob einer Frau nach dem ABC,,,PragXA12,,,,,,
,Wie der Mensch sein soll,,,PragXA12,,,,,,
,Schelte einer Frau nach dem ABC,,,PragXA12,,,,,,
,Wer an den einzelnen Wochentagen badet,,,PragXA12,,,,,,
,Schelte einer Frau nach dem ABC,oder sprich also,oder sprechen alsô,PragXA12,,,,,,
,Die neun Merkmale einer schönen Frau,,,PragXA12,,,,,,
,Bauernregel,,,PragXA12,,,,,,
,Liebe und Leid,,,PragXA12,,,,,,
,Niemand kennt den anderen,,,PragXA12,,,,,,
,Die zehn Lebensalter,,,PragXA12,,,,,,
,Das Alter von Zaun Hund Pferd usw,,,PragXA12,,,,,,
,Warum Jagdtiere jagen,,,PragXA12,,,,,,
,Lehren des Aristoteles,Die nachgeschriben ler gab Aristotiles küng Allexandro,die nâchschrîben lêre geben Aristoteles künic Alexander,PragXA12,,,,,,
,Ironischer Frauenpreis,,,PragXA12,,,,,,
,Lob der Frauen I,Das nyemands frawen übel red,daz nieman vrouwe übel red,PragXA12,,,,,,
,Die Beichte einer Frau,Das půlschafft nit sünd sey / ain hübsche peicht,daz půlschaft niht sünde sîn / ein hövesch bigiht,PragXA12,,,,,,
,Verschwiegene Liebe,Von der welt lauff,von der welt louf,PragXA12,,,,,,
,Der schwere Traum,Von ainem swären tramb ainer frawen,von ein swære tramb ein vrouwe,PragXA12,,,,,,
,Der Traum,Von ainem lieplichen tramb ains gesellen,von ein lieplich tramb ains gesellen,PragXA12,,,,,,
,Die rechte Art der Minne,Wie aine iren půlen hieß leben,wie ein sie půlen heizzen leben,PragXA12,,,,,,
,Der unentwegte Liebhaber,"Das chain puoler ablassen sol, ob Im halt ain fraw mit vngenad sein werben abschlecht","daz kein puoler abelâzen sol, ob er halt ein vrouwe mit ungenâde sein werben abeslahen ",PragXA12,,,,,,
,Die Beständige und die Wankelmütige,Von ainer stätten und von ainer fürwitzen,von ein stæte und von ein fürwitzen,PragXA12,,,,,,
,Streitgespräch zweier Frauen über die Minne,Ain krieg von zwei frawen ob pesser sey lieb ze haben oder on lieb zu beleiben,ein kriec von zwei vrouwe ob bezzer sîn lieb zuo haben oder âne lieb zuo belîben,PragXA12,,,,,,
,Der Liebesbrief,Wie lieb ain fraw ain knaben hett,wie lieb ein vrouwe ein knabe het,PragXA12,,,,,,
,Der erste Buchstabe der Geliebten,Von dem ersten puochstaben seins Buolen,von der êrste buochstap er buole,PragXA12,,,,,,
,640,Das die welt alles ding zu dem pösten verstat,daz die welt al ding zuo der boese verstân,PragXA12,,,,,,
,Wer kann allen recht tun,Wie die welt ains yeglichen spottet,wie die welt ains iegelich spotten,PragXA12,,,,,,
,Das Schloss Immer,Von dem Schloss ymmer,von der schloss iemer,PragXA12,,,,,,
,Von der Harre,,,PragXA12,,,,,,
,Die Heimkehr des gefangenen Geliebten,Von plömlen delectar,von plömlen delectar,PragXA12,,,,,,
,Was Blütenfarben bedeuten,Von manigerlay plümlen,von manigerlai plümlen,PragXA12,,,,,,
,Die beiden Schwestern,Von zwain swestern wie aine die andern straffet,von zwei swester wie ein die andern strâfen,PragXA12,,,,,,
,Die acht Farben,Von allerlay varben,von allerlei varwe,PragXA12,,,,,,
,Lob der grünen Farbe,Von der Grönen varbe,von der grönen varwe,PragXA12,,,,,,
,Die sechs Farben,Von vßlegung der sechs varb,von vsslegung der sehs varwe,PragXA12,,,,,,
,,Was allerlay pletter bedeüten,was allerlei blat bediuten,PragXA12,,,,,,
,Herzmaere,Der hertz spruch,der herze spruch,PragXA12,,,,,,
,Belehrung eines jungen Mannes,Ain Lere Junger mann,ein lere junger mann,PragXA12,,,,,,
,Die Minneburg,Wie ainer sein fräd wolt begraben,wie ein sein vröude wellen begraben,PragXA12,,TRUE,,,,
,Rätsel,Ain rättnusz,ein rätnusz,PragXA12,,,,,,
,Besuch bei der Geliebten,Wie ainer sein lieb vand in gehaym an einem pett ligen,wie ein sein lieb vinden in geheim an ein bet ligen,PragXA12,,,,,,
,669,Ainer frawen clag,ein vrouwe clag,PragXA12,,,,,,
,Das Strohkränzlein,Von ainem ströin krentzlin,von ein ströin krentzlin,PragXA12,,,,,,
,Das Meiden,Von meiden,von maget,PragXA12,,,,,,
,Das Scheiden,Von schaiden,von scheiden,PragXA12,,,,,,
,Abschiedsgruß,Ain vrlaub,ein urloup,PragXA12,,,,,,
,Die goldene Fessel,Von ainem guldin notfall,von ein guldîn notfall,PragXA12,,,,,,
,Naujahsgruß auf 1441,Ain newes Jar ymm ains vnd viertzigisten,ein niuwe jâr ime ains und vierzegeste,PragXA12,,,,,,
,Naujahsgruß auf 1442,Ain newes Jar ymm zway vnd viertzigisten,ein niuwe jâr ime zwei und vierzegeste,PragXA12,,,,,,
,Naujahsgruß auf 1443,Ain newes Jar ymm drey vnd viertzigisten,ein niuwe jâr ime drî und vierzegeste,PragXA12,,,,,,
,Naujahsgruß auf 1444,Ain newes Jar ymm vier vnd viertzigisten,ein niuwe jâr ime vier und vierzegeste,PragXA12,,,,,,
,Naujahsgruß auf 1445,Ain newes Jar ymm fünff vnd viertzigisten,ein niuwe jâr ime vünf und vierzegeste,PragXA12,,,,,,
,Naujahsgruß auf 1446,Ain newes Jar ymm sechs vnd viertzigisten,ein niuwe jâr ime sehs und vierzegeste,PragXA12,,,,,,
,Naujahsgruß auf 1447,Ain newes Jar ymm sieben vnd viertzigisten,ein niuwe jâr ime siben und vierzegeste,PragXA12,,,,,,
,Naujahsgruß auf 1448,Ain newes Jar ymm acht vnd viertzigisten,ein niuwe jâr ime aht und vierzegeste,PragXA12,,,,,,
,Quodlibet,Ain aubentewrliche rede vnd vellt von ainem zu dem andern,ein aubentewrliche rede und vallen von ein zuo der andern,PragXA12,,,,,,
,Das Würfelspiel,Was übels ainem yeglichen vß Spil chomm,was übel ein iegelich ûz spil chomm,PragXA12,,,,,,
,Klage eines verlassenen Liebhabers,Ainer clagt sein ellends wesen,ein klagen sein ellende wesen,PragXA12,,,,,,
,Die versuchte Treue,Von ainer gar frölichen frawen,von ein gar vroelîch vrouwe,PragXA12,,,,,,
,Minneklage eines Mannes,Ain iämerliche clag ains da sein puole angesprochen hett,ein iämerliche clag ains dâr sein buole anesprechen het,PragXA12,,,,,,
,Herz und Leib,Ain mynn red von hertyen und von leib,ein minnen red von hertien und von lîp,PragXA12,,,,,,
,Liebesklage eines Mannes (B57),Ain ellende clag,ein ellende clag,PragXA12,,,,,,
,Sehnsuchtsklage einer Frau,Von grossem senen ainer frawen,von grôz senen ein vrouwe,PragXA12,,,,,,
,Weiberzauber,Von krewtern damit frawen ir mann bezaubern,von krewtern darmit vrouwe sie mann bezoubern,PragXA12,,,,,,
,Warnung vor Hoffart,Von weltlichem lauff,von werltlich louf,PragXA12,,,,,,
,Die böse Frau und der Teufel,Von ainem zornigen weib,von ein zornec wîp,PragXA12,,,,,,
,Schönheitspreis,Der guldin stain,der guldîn stein,PragXA12,,,,,,
,Gespräch mit einem alten Liebhaber,Ain aubenteweliche red von ainem der da peysset,ein aubenteweliche red von ein der dâr bîzen,PragXA12,,,,,,
,Der Minne Gericht III,Der mynn gericht,der minnen gericht,PragXA12,,,,,,
,Wahre und falsche Liebe,Von der frawen alenfantz ain rede,von der vrouwe alenfantz ein rede,PragXA12,,,,,,
,Der Maienkranz,Von dem Mayen krantz,von der meie kranz,PragXA12,,,,,,
,Der Minne Regel,mynn regel,minnen regula,PragXA12,,,,,,
,Der Krautgarten,Von ainem wurtzgarten,von ein wurzegarte,PragXA12,,,,,,
,Streitgespräch zwischen Mai und August,Ain krieg von dem Mayen und von dem Augst Mon,ein kriec von der meie und von der augst mon,PragXA12,,,,,,
,Christliche Lebenslehre,Ain gemaine lere,ein gemeine lere,PragXA12,,,,,,
,Spiegel + Schleiertüchlein,Vnderweisung aines der Ritter wolt werden,vnderweisung aines der ritter wellen werden,PragXA12,,TRUE,,,,
,,Von dem hailigen Gaist / der Münich von swaltzburg,von der heilec geist / der münech von swaltzburg,PragXA12,,,,,TRUE,
,,Von dem hailigen fronleichnam Cristi,von der heilec vrônlîcham Christus,PragXA12,,,,,,
,,Von der hailigen driualtigkait / der Münich von Satzburg,von der heilec driualtigkait / der münech von satzburg,PragXA12,,,,,TRUE,
,,Von vnser frawen / der Münich,von wir vrouwe / der münech,PragXA12,,,,,TRUE,
,Die Bauernhochzeit,Von Mayr Betzen,von meier betzen,PragXA12,,,,,,
,Das nackte Bild,Das nackent pilde / vnd ain Maisterliche tieffe rede,daz nacket bilde / und ein meisterlich tief rede,PragXA12,,,,,,
,Die sieben größten Freuden,Von siben größten fräden,von siben grôz vröude,PragXA12,,,,,,
,Cato,Ain lere wie Katho sein Sun hieß leben,ein lere wie Cato sein sun heizzen leben,PragXA12,,,,,,
,Tischzucht,Von tisch zucht,von tisch zucht,PragXA12,,,,,,
,Grabinschrift,,,PragXA12,,,,,,
,Die Grasmetze,Von der Gras Metzen / herman von Sachsenhayn,von der gras metzen / herman von sachsenhain,PragXA12,,,,,TRUE,
,Rechte Liebe,Was die liebe sey / kaltenpach,was die liebe sîn / kaltenpach,PragXA12,,,,,,
,Der Reiterorden,Von der scharpffen Rewtter orden,von der scharpf rewter orden,PragXA12,,,,,,
,,Von der natur des chinds,von der natura der chinds,PragXA12,,,,,,
,Der Knecht im Garten,Wie ain fraw iren man betrog,wie ein vrouwe sie man betriegen,PragXA12,,,,,,
,Bescheidenheit,Freydanck / von wuochrere,freidanck / von wuochrere,PragXA12,,TRUE,,,True,
,Bescheidenheit,Freydanck / von trincken,freidanck / von trinken,PragXA12,,TRUE,,,True,
,Bescheidenheit,Von Spilen,von spiln,PragXA12,,TRUE,,,,
,Bescheidenheit,Von dem tode,von der tôt,PragXA12,,TRUE,,,,
,Bescheidenheit,,,PragXA12,,TRUE,,,,
,,Von den groszen hauptsünden,von der grôz hauptsünden,PragXA12,,,,,,
,,Die sieben tagzeitt des Münichs von Saltzburg,die siben tagzeit der münichs von saltzburg,PragXA12,,TRUE,,,,
,,Tagzeitt vnser frawen,tagzeit wir vrouwe,PragXA12,,TRUE,,,,
,Stiefmutter und Tochter,Wie ain muoter ir dochter lernet puolen,wie ein muoter sie tohter lernen buole,PragXA12,,,,,,
,Neujahrsgruß auf 1443,Ein Newes Jar im xliij,ein niuwe jâr er xliij,Be3,,,,,,
,Neujahrsgruß auf 1443,Ein Newes Jar im xliij,ein niuwe jâr er xliij,Lg4,,,,,,
,Neujahrsgruß auf 1444,Ein newes Jar im xliiij,ein niuwe jâr er xliiij,Be3,,,,,,
,Neujahrsgruß auf 1444,Ein newes Jar im xliiij,ein niuwe jâr er xliiij,Lg4,,,,,,
,Neujahrsgruß auf 1445,Ein newes Jar im xlv,ein niuwe jâr er I,Be3,,,,,,
,Neujahrsgruß auf 1445,Ein newes Jar im xlv,ein niuwe jâr er I,Lg4,,,,,,
,Neujahrsgruß auf 1446,Ein newes Jar im xlvi,ein niuwe jâr er I,Be3,,,,,,
,Neujahrsgruß auf 1446,Ein newes Jar im xlvi,ein niuwe jâr er I,Lg4,,,,,,
,Neujahrsgruß auf 1447,Ein newes Jar im xlvii,ein niuwe jâr er I,Be3,,,,,,
,Neujahrsgruß auf 1447,Ein newes Jar im xlvii,ein niuwe jâr er I,Lg4,,,,,,
,Römischer Liebesbrief I,Got gesegen dich ich var dahin,got gesegenen dû ich var dârhin,Ro1,,,,,,
,Der Sperber,,,Dr68,,,,,,
,Der Ritter im Hemde,Von dez ritters nider wat,von der ritter nidere wat,Dr68,,,,,,
,Die Eule,Von der vͤlen,von der vͤlen,Dr68,,,,,,
,Der Ritter mit den Nüssen,Von dem ritter vnd den nusen,von der ritter und der nusen,Dr68,,,,,,
,Die Meierin mit der Geiß,Von der maÿrin mit der gaiſz,von der maïrin mit der gaiſz,Dr68,,,,,,
,Das heiße Eisen,Von dem heissen eÿsen,von der heizzen eïsen,Dr68,,,,,,
,Studentenabenteuer A,Von zwain studenten,von zwei student,Dr68,,,,,,
,Der Magezoge,Wie der uatter sein sun lert,wie der vater sein sun lêren,Dr68,,,,,,
,Der betrogene Blinde,Von ainem plinden,von ein blint,Dr68,,,,,,
,Tor Hunor,Von ains pauren sun hiesz hunnore,von ains gebûr sun heizzen hunnore,Dr68,,,,,,
,Die halbe Decke IV,Von dem ritter mit dem kotzen,von der ritter mit der kotze,Dr68,,,,,,
,Berchta,Von baͤrchten mit der langen nasz,von baͤrchten mit der langen naz,Dr68,,,,,,
,Der schwangere Müller,Von dez muͤllers sun,von der muͤllers sun,Dr68,,,,,,
,Hellerwerwitz,Von den ledigen weiben,von der ledegen weiben,Dr68,,,,,,
,Bescheidenheit,Von der zungen,von der zunge,Dr68,,TRUE,,,,
,Der Schlegel,Von dem schlegel,von der slegel,Dr68,,,,,,
